key,category,zh-CN,note
market.auction.feed.status.buyout,坊市,可一口,
market.auction.head.buyout-price,坊市,一口价,
market.auction.head.current-price,坊市,当前价,
market.auction.head.item,坊市,物品,
market.auction.head.list-price,坊市,寄拍价,
market.auction.head.quality,坊市,品质,
market.auction.head.remaining,坊市,剩余,
market.auction.head.remaining-time,坊市,剩余时间,
market.auction.head.status,坊市,状态,
market.auction.hint.bid-and-buyout,坊市,出价按当前价加一档起拍；一口价会先确认再尝试立即成交。,
market.auction.hint.remaining,坊市,剩余数量 {count}，撤回后返还至托管仓与背包。,
market.auction.hint.repeat-bid,坊市,你已经对这件物品发起竞价，不能重复出价。,
market.auction.mine.copy,坊市,撤回寄拍后，剩余物品返还至托管仓与背包。,
market.auction.mine.status.consigning,坊市,寄拍中 {count},
market.auction.mine.status.failed,坊市,流拍 {count},
market.auction.mine.status.sold,坊市,已成交 {count},
market.auction.mine.title,坊市,寄拍状态,
market.auction.open,坊市,打开拍卖行,
market.auction.refresh,坊市,刷新列表,
market.auction.summary.copy,坊市,竞价、关注和寄拍集中在独立拍卖行界面处理，简报只显示当前可参与状态。,
market.auction.summary.title,坊市,拍卖简报,
market.book.action.buy,坊市,购买,
market.book.action.buy-request,坊市,求购,
market.book.action.sell,坊市,挂售,
market.book.action.sell-request,坊市,出售,
market.book.column.buy,坊市,求购,
market.book.column.sell,坊市,挂售,
market.book.empty.buy,坊市,暂无求购。,
market.book.empty.enhance-level,坊市,选定具体强化等级后查看盘面。,
market.book.empty.sell,坊市,暂无售单。,
market.book.group.hint.enhance,坊市,该装备有强化等级区分，点击左侧条目后会先进入强化等级列表。,
market.book.group.hint.normal,坊市,点击左侧物品后，这里会显示当前挂售、求购和快捷交易入口。,
market.book.loading.buy,坊市,买盘查探中...,
market.book.loading.sell,坊市,卖盘查探中...,
market.book.subtitle.enhance-select,坊市,该装备支持强化，请先从左侧选择要交易的强化等级。,
market.book.subtitle.group,坊市,{typeLabel} · 点击左侧物品查看具体盘面,
market.empty.category,坊市,当前分类下暂时没有物品。,
market.empty.select-item,坊市,请选择左侧物品。,
market.enhance.attempts,坊市,期望次数,
market.enhance.no-protection,坊市,无保护,
market.enhance.none,坊市,暂无,
market.enhance.pending,坊市,查探中,
market.enhance.time,坊市,期望时间,
market.enhance.title,坊市,强化估算,
market.filter.all,坊市,全部,
market.filter.equipment-all,坊市,全部装备,
market.filter.technique-all,坊市,全部功法,
market.history.empty,坊市,尚无交易往来。,
market.history.loading,坊市,交易记录调阅中...,
market.history.side.buy,坊市,购入,
market.history.side.sell,坊市,售出,
market.loading,坊市,坊市行情查探中...,
market.my-orders.buy,坊市,我的求购,
market.my-orders.empty.buy,坊市,当前没有求购挂单。,
market.my-orders.empty.sell,坊市,当前没有挂售单。,
market.my-orders.sell,坊市,我的挂售,
market.order.cancel,坊市,取消订单,
market.order.side.buy,坊市,求购,
market.order.side.sell,坊市,挂售,
market.pane.hint,坊市,坊市支持匿名挂售、求购与自动撮合，成交物会优先尝试进入背包，放不下时转入托管仓。,
market.pane.open,坊市,打开坊市,
market.pane.stat.listed,坊市,可见盘面,
market.pane.stat.orders,坊市,我的挂单,
market.pane.stat.storage,坊市,托管物品,
market.pane.title,坊市,坊市,
market.side-tabs.title,坊市,坊市分栏,
market.status.learned,坊市,已学,
market.status.unlocked,坊市,已阅,
market.storage.claim-all,坊市,全部领取,
market.storage.empty,坊市,托管仓空空如也。,
market.storage.title,坊市,坊市托管仓,
market.subtitle,坊市,天下修士互通有无,
market.tab.market,坊市,市场,
market.tab.my-orders,坊市,我的交易,
market.tab.trade-history,坊市,交易记录,
market.title,坊市,坊市,
market.toolbar.page,坊市,共 {total} 件，第 {page} / {totalPages} 页,
market.toolbar.variants,坊市,{itemName} · 共 {totalVariants} 个强化等级,
market.trade.action.bid,坊市,确认加价,
market.trade.action.buy,坊市,确认求购,
market.trade.action.max,坊市,最大,
market.trade.action.sell,坊市,确认挂售,
market.trade.buy-confirm.estimate,坊市,撮合预估,
market.trade.buy-confirm.immediate,坊市,预计立即成交,
market.trade.buy-confirm.max-reserved,坊市,最高占用,
market.trade.buy-confirm.pending,坊市,剩余挂单,
market.trade.buy-confirm.pending-count,坊市,{count} 件,
market.trade.buy-confirm.quantity,坊市,购买数量,
market.trade.buy-confirm.refund-hint,坊市,若卖盘成交价低于出价，差额将自动退还。,
market.trade.buy-confirm.summary.direct,坊市,预计会按当前卖盘直接成交 {immediateQuantity} 件。,
market.trade.buy-confirm.summary.pending,坊市,当前无法保证立刻成交，确认后会按当前单价挂出求购单。,
market.trade.buy-confirm.summary.split,坊市,预计先按当前卖盘成交 {immediateQuantity} 件，剩余 {pendingQuantity} 件会继续挂为求购单。,
market.trade.buy-confirm.unit-price,坊市,单价 {unitPrice} {currencyName},
market.trade.buyout-confirm.insufficient,坊市,{currencyName}不足，无法按一口价成交。,
market.trade.buyout-confirm.lot-no,坊市,拍品编号,
market.trade.buyout-confirm.price,坊市,一口价,
market.trade.buyout-confirm.quantity,坊市,成交数量,
market.trade.buyout-confirm.quantity-value,坊市,{count} 件,
market.trade.buyout-confirm.ready,坊市,确认后会按一口价发起立即成交，不再进入加价输入。,
market.trade.buyout-confirm.total,坊市,本次支付,
market.trade.field.quantity,坊市,数量,
market.trade.field.total,坊市,总价,
market.trade.field.unit-price,坊市,单价,
market.trade.hint.conflict-buy,坊市,你已在挂售这件物品，不能再求购。,
market.trade.hint.conflict-sell,坊市,你已在求购这件物品，不能再挂售。,
market.trade.hint.insufficient-currency,坊市,{currencyName}不足，当前需要 {totalCost}。,
market.trade.hint.insufficient-step.buy,坊市,当前 {currencyName} 或数量上限不足以按该单价成交至少 {quantityStep} 件。,
market.trade.hint.insufficient-step.sell,坊市,当前持有数量不足 {quantityStep} 件，不能按该单价挂售。,
market.trade.hint.min-bid,坊市,最低加价为 {unitPrice} {currencyName}，价格只按坊市档位递增或递减。,
market.trade.hint.quantity-step,坊市,当前单价下必须按 {quantityStep} 件的倍数交易，{currencyName} x1 可买 {quantityStep} 件。,
market.trade.title.bid,坊市,拍卖加价,
market.trade.title.buy,坊市,发起求购,
market.trade.title.sell,坊市,发起挂售,
market.trade.total.bid,坊市,出价占用,
market.trade.total.buy,坊市,总价,
market.trade.total.sell,坊市,总额,
mail.action.claim,飞书,收取信物,
mail.action.claim-selected,飞书,领取勾选,
mail.action.clear-selection,飞书,清空勾选,
mail.action.delete,飞书,删除,
mail.action.delete-selected,飞书,删除勾选,
mail.action.mark-read,飞书,标已阅,
mail.action.next-page,飞书,下一页,
mail.action.prev-page,飞书,上一页,
mail.action.select-page,飞书,全选本页,
mail.attachment.page-meta,飞书,第 {page} / {totalPages} 页,
mail.attachment.title,飞书,信物,
mail.detail.note,飞书,单实例详情弹层,
mail.detail.title,飞书,邮件详情,
mail.empty.attachments,飞书,这封邮件无信物,
mail.empty.body,飞书,这封邮件无正文内容。,
mail.empty.detail,飞书,请选择一封邮件查看详情,
mail.empty.list,飞书,当前筛选下暂无邮件,
mail.expire.at,飞书,到期 {time},
mail.expire.permanent,飞书,长期保留,
mail.expire.until,飞书,至 {time},
mail.filter.all,飞书,全部,
mail.filter.claimable,飞书,可取信物,
mail.filter.unread,飞书,未阅,
mail.list.note,飞书,按需拉取，不在登录首包塞整箱正文,
mail.list.title,飞书,邮件列表,
mail.modal.close-hint,飞书,点击空白处关闭,
mail.modal.subtitle,飞书,未阅 {unreadCount} · 可取信物 {claimableCount},
mail.modal.title,飞书,飞书台,
mail.state.claimable,飞书,可取信物,
mail.state.claimed,飞书,信物已取,
mail.state.no-attachments,飞书,无信物,
mail.state.read,飞书,已阅,
mail.state.unread,飞书,未阅,
mail.summary.claimable,飞书,可取信物,
mail.summary.claimable-note,飞书,信物取出由天道控卷，不入地图广播。,
mail.summary.current-filter,飞书,当前筛选,
mail.summary.empty,飞书,信笺无言,
mail.summary.page-meta,飞书,第 {page} / {totalPages} 页，已勾选 {selectedCount} 封。,
mail.summary.unread,飞书,未阅,
mail.summary.unread-note,飞书,点入信笺，归入已阅。,
changelog.entry.0.item.0,更新日志,增加：宗门体系进入新阶段。宗门不再只是聊天标签，而是逐步承接身份、资源、修行方向和后续集体玩法，道友加入宗门后的成长目标会更明确。,
changelog.entry.0.item.1,更新日志,增加：世界结构开始拆成现实与虚境两条分线。现实线保留日常探索、资源采集、地图推进和社交活动，虚境线则承担试炼、推演、特殊遭遇与更高风险收益的修行内容。,
changelog.entry.0.item.2,更新日志,增加：阵法系统补进核心框架。阵眼、阵位、阵法效果和后续宗门场景已经开始打通，未来护宗、修炼、战斗和探索都会围绕阵法展开更多变化。,
changelog.entry.0.item.3,更新日志,重做：根基概念被纳入修行主线。角色成长不再只看境界数字，根基会影响突破准备、功法承载、长期上限和部分修行收益，前期积累会更有意义。,
changelog.entry.0.item.4,更新日志,增加：六维体系完成第一轮整理。体魄、神识、悟性、根骨、机缘、心性等核心维度会逐步参与属性、修炼、事件判定和突破表现，角色流派差异会更明显。,
changelog.entry.0.item.5,更新日志,优化：内功路线重新梳理。内功会更明确地承担长期底盘、气血灵力、修行效率和功法联动，不再只是一组面板加成。,
changelog.entry.0.item.6,更新日志,调整：突破体系继续加固。突破条件、材料准备、根基要求、风险反馈和阶段目标会更清楚，卡境界时更容易判断缺什么、该去哪里补。,
changelog.entry.0.item.7,更新日志,优化：这些系统会分批接入具体玩法。本次先把主轴、口径和展示说明整理出来，后续会继续补齐宗门经营、虚境挑战、阵法实装和更多突破细节。,
changelog.entry.0.summary,更新日志,这一轮把后续修行主轴往前推进了一大步：宗门体系、虚境与现实分线、阵法、根基、六维、内功和突破规则开始串成一条更完整的长期养成线。,
changelog.entry.1.item.0,更新日志,重做：属性结算与战斗对抗体系整体翻修。属性来源拆得更清楚，属性对抗、成长公式、防御减伤、怪物属性换算、普通攻击经验乘区、越级击杀经验和功法经验规则都重算过，实战强弱与面板数值会更容易对上。,
changelog.entry.1.item.1,更新日志,重做：技能管理正式改版。启用技能现在会受栏位数量限制，栏位数量会随成长变化；技能顺位、筛选、滚动状态保留、技能分享文本、无目标施放限制和范围解析也都补齐了。,
changelog.entry.1.item.10,更新日志,调整：所有 Buff 的最大层数上限整体提升到了原来的三倍，叠层玩法和持续养成的空间比以前大很多。,
changelog.entry.1.item.11,更新日志,增加：天机阁排行榜与重新拆分后的世界卷宗入口已经上线，查榜、看世界信息和整理角色进度会方便很多。,
changelog.entry.1.item.12,更新日志,重做：地图与探索体验补了一整轮。栖真渡主城重绘，封天井增加主城传送阵，玄铁矿洞矿脉布局、练气路线资源与落点、湖底洞天灵气点、部分草药点与解锁节点都重新整理过。,
changelog.entry.1.item.13,更新日志,增加：大地图支持切换记忆与整图显示，小地图与地图目录的错位、重置、列表与确认交互也修了一轮，跨图跑图的体验更稳了。,
changelog.entry.1.item.14,更新日志,增加：遁返行动已经加入，命石切换主城复活点也已经上线，回城、复活与重新接续路线会比以前顺得多。,
changelog.entry.1.item.15,更新日志,重做：草药系统整体翻修。现在支持草药点、分组布点、连续采集、采集技艺成长、复生与刷新节奏修正，草药点与掉落命名也统一了。,
changelog.entry.1.item.16,更新日志,调整：怪物体系继续统一。每级基础成长、生命成长、冷却成长、境界模板映射、刷新时间公式和刷新模板继承都整理过，前中期与中后期怪物的成长规律更一致。,
changelog.entry.1.item.17,更新日志,调整：五张地图玄阶异种、29 级精英、练气期精英、六大 Boss、金丹洞府 Boss、破败洞府 Boss 等多批怪物的数值、经验和掉落都重新校准过，风险与收益比以前更平滑。,
changelog.entry.1.item.18,更新日志,重做：破败洞府与唤灵真人相关战斗内容翻新，包含 Boss 觉醒、战斗预警、完整战斗体系，以及后续补强的草药掉落。,
changelog.entry.1.item.19,更新日志,调整：掉落系统继续统一整理。装备默认爆率、基础材料通用爆率、稀有掉落增幅、灵石怪掉落、部分 Boss 经验与收益都重新梳理过。,
changelog.entry.1.item.2,更新日志,增加：补进了一整批练气期功法与技能内容，包括黄阶五行联动功法、练气精英同系技能、水系流霜联动、共享 Buff 模板，以及多轮技能节奏、蓝耗、持续时间和平衡调整。,
changelog.entry.1.item.20,更新日志,优化：背包、坊市和购买流程做了一轮体验升级，包括默认背包容量提升、旧角色回填、地图组装备判定、已学功法与已阅地图标记、按功法境界和材料等级排序、低于 1 灵石定价支持、上架数量上限与购买确认弹窗。,
changelog.entry.1.item.21,更新日志,优化：客户端性能专项做了一轮。背包与日志渲染、聊天本地持久化、地图渲染与性能观测都改过；现在还可以自定义 FPS 上限，默认 60，并且显示的是实际渲染帧率。,
changelog.entry.1.item.22,更新日志,优化：神通动作浮字、技能与 Buff 预览、装备空槽显示、属性面板详情保留、手机端注册页、炼丹页、强化页等一批界面细节也都补过。,
changelog.entry.1.item.23,更新日志,修复：自动战斗、原地技能释放、目标计划、反击对象同步、敌对目标红血条显示、全体攻击边界、怪物丢视野短追击和离线死亡原因记录等战斗细节都比以前稳定得多。,
changelog.entry.1.item.24,更新日志,增加：PVP 现在补进了一整套血煞玩法，包括血煞唤灵决、血精石、神魂受损、煞气入体、原地留煞和煞气可见性与吸收规则，玩家间击杀和反杀的收益链路已经正式成形。,
changelog.entry.1.item.25,更新日志,优化：角色名、登录与外部支持链路也补了一轮，包括角色名敏感词校验、账号名与角色名唯一性校验分离、复合 emoji 名称支持，以及爱发电入口与兑换码相关功能接入。,
changelog.entry.1.item.3,更新日志,优化：修炼相关规则继续整理。越境学习、无主修修炼、炼体经验流转、非秘术力道与经脉加成、技能槽位成长等奖励口径都重新统一，功法成长路线比以前更清楚。,
changelog.entry.1.item.4,更新日志,增加：属性面板新增灵脉分页，功法书悬浮预览也补得更完整，查看灵脉、书籍价值和成长路线时会更直观。,
changelog.entry.1.item.5,更新日志,增加：装备强化系统正式上线。包括强化成功率、耗时与消耗规则、保护机制、强化历史、预计成本估算、成功率说明、保护起始等级与多轮平衡修正，手机和桌面端强化窗口也都重做过。,
changelog.entry.1.item.6,更新日志,增加：炼丹链路正式接入。丹方主药真源、单炉出丹规则、回复丹与增益丹拆分、技艺经验结算、共享公式、药效口径和若干丹药副作用与持续时间都重算过。,
changelog.entry.1.item.7,更新日志,增加：自动丹药槽与触发条件已经接入，自动战斗现在可以更稳定地识别并使用合适的丹药。,
changelog.entry.1.item.8,更新日志,增加：炼体系统补进了底蕴灌注、部分与全量灌注，以及见闻录进度记录；同时修掉了多处炼体经验流转和展示问题。,
changelog.entry.1.item.9,更新日志,增加：往生丹、凝相丹、法相维持、灵根幼苗、碎灵丹、凝气成基法、秘籍商等一批中前期到进阶期养成内容已经加入，法相与开天门路线也补了一轮配套内容。,
changelog.entry.1.summary,更新日志,这段时间我们把战斗、养成、强化、炼丹、地图探索、PVP 和大量界面体验一起重做了一轮，整体已经不是只补几个小功能，而是把练气到中期推进的整条体验重新梳理过了。,
changelog.entry.10.item.0,更新日志,增加：手机和窄屏设备现在会自动切成五个主分页，功法、行囊、行动和世界信息不再全挤在一起。,
changelog.entry.10.item.1,更新日志,增加：谁在追谁、谁在盯谁会直接用箭头标出来；行动面板也补进了全体攻击开关。,
changelog.entry.10.item.2,更新日志,优化：地图缩放会记住上次倍率，还加了快速重置，切横竖屏或反复开关页面时更省事。,
changelog.entry.10.item.3,更新日志,修复：移动端大地图交互遮挡、地图缩放按钮深色模式显示异常，以及自动战斗追击距离不准的问题。,
changelog.entry.10.item.4,更新日志,优化：云来镇和多张野外地图的路线、怪物分布和关键地标重新整理，找资源和找怪会直观很多。,
changelog.entry.10.summary,更新日志,手机操作、战斗反馈和地图读图体验一起做了重整，跑图、挂机和混战时都会更好看懂。,
changelog.entry.11.item.0,更新日志,增加：功法详情改成星图展示，修炼分支、层数推进和关键加成会更直观。,
changelog.entry.11.item.1,更新日志,增加：凡人篇装备池扩充，部分装备开始带独特效果；多张野外地图也补进了更多稀有掉落。,
changelog.entry.11.item.2,更新日志,增加：设置页补进更多界面样式调节项，背包和装备栏的说明也更完整。,
changelog.entry.11.item.3,更新日志,修复：缺少突破条件时仍能继续成长、装备强度对比口径不准等会误导养成判断的问题。,
